SonicWALL SKU,Networking/ISG SKUs (TZ500 and above),Partner Software (Nexus/Tracker SKUs) TZ400 and below,Partner Software (Harmony SKUs) TZ400 and below,SonicWALL Product Description ,MSRP (USD),SecureFirst Discount Eligibility,Minimum Advertised Price (MAP),Hardware/Software,Special Requirements,Notes
01-SSC-0231,A8312230,N/A,N/A,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR TZ600 SERIES 4YR",1158,Y,1158,S,0,"Provides real time network threat prevention with Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention Service and Application Firewall."
01-SSC-0232,A8312231,N/A,N/A,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR TZ600 SERIES 5YR",1448,Y,1448,S,0,"Provides real time network threat prevention with Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention Service and Application Firewall."
01-SSC-0234,A8312232,N/A,N/A,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR TZ600 SERIES 1YR,395,Y,395,S,0,Provides URL filtering allowing organizations to manage productivity and security For online activities using 56 unique categories.  
01-SSC-0235,A8312233,N/A,N/A,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR TZ600 SERIES 2YR,671,Y,671,S,0,Provides URL filtering allowing organizations to manage productivity and security For online activities using 56 unique categories.  
01-SSC-0236,A8312234,N/A,N/A,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR TZ600 SERIES 3YR,948,Y,948,S,0,Provides URL filtering allowing organizations to manage productivity and security For online activities using 56 unique categories.  
01-SSC-0237,A8312235,N/A,N/A,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR TZ600 SERIES 4YR,1263,Y,1263,S,0,Provides URL filtering allowing organizations to manage productivity and security For online activities using 56 unique categories.  
01-SSC-0238,A8312236,N/A,N/A,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR TZ600 SERIES 5YR,1579,Y,1579,S,0,Provides URL filtering allowing organizations to manage productivity and security For online activities using 56 unique categories.  
01-SSC-0240,A8312237,N/A,N/A,STANDARD SUPPORT FOR TZ600 SERIES 1YR,280,Y,280,S,0,"Includes 8x5 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-0241,A8312238,N/A,N/A,STANDARD SUPPORT FOR TZ600 SERIES 2YR,475,Y,475,S,0,"Includes 8x5 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-0242,A8312239,N/A,N/A,STANDARD SUPPORT FOR TZ600 SERIES 3YR,671,Y,671,S,0,"Includes 8x5 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-0243,A8312240,N/A,N/A,STANDARD SUPPORT FOR TZ600 SERIES 4YR,895,Y,895,S,0,"Includes 8x5 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-0244,A8312241,N/A,N/A,STANDARD SUPPORT FOR TZ600 SERIES 5YR,1119,Y,1119,S,0,"Includes 8x5 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-0246,A8312242,N/A,N/A,24X7 SUPPORT FOR TZ600 SERIES 1YR,378,Y,378,S,0,"Includes 24x7 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-0247,A8312243,N/A,N/A,24X7 SUPPORT FOR TZ600 SERIES 2YR,643,Y,643,S,0,"Includes 24x7 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-0248,A8312244,N/A,N/A,24X7 SUPPORT FOR TZ600 SERIES 3YR,908,Y,908,S,0,"Includes 24x7 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-0249,A8312245,N/A,N/A,24X7 SUPPORT FOR TZ600 SERIES 4YR,1211,Y,1211,S,0,"Includes 24x7 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-0250,A8312246,N/A,N/A,24X7 SUPPORT FOR TZ600 SERIES 5YR,1513,Y,1513,S,0,"Includes 24x7 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-0252,A8312247,N/A,N/A,COMPREHENSIVE ANTI-SPAM SERVICE FOR TZ600 SERIES 1YR,658,Y,658,S,0,The Comprehensive Anti-Spam Service is recommended For Up To 250 User.
01-SSC-0253,A8312248,N/A,N/A,COMPREHENSIVE ANTI-SPAM SERVICE FOR TZ600 SERIES 2YR,1119,Y,1119,S,0,The Comprehensive Anti-Spam Service is recommended For Up To 250 User.
01-SSC-0254,A8312249,N/A,N/A,COMPREHENSIVE ANTI-SPAM SERVICE FOR TZ600 SERIES 3YR,1579,Y,1579,S,0,The Comprehensive Anti-Spam Service is recommended For Up To 250 User.
01-SSC-0255,A8312250,N/A,N/A,COMPREHENSIVE ANTI-SPAM SERVICE FOR TZ600 SERIES 4YR,2106,Y,2106,S,0,The Comprehensive Anti-Spam Service is recommended For Up To 250 User.
01-SSC-0256,A8312251,N/A,N/A,COMPREHENSIVE ANTI-SPAM SERVICE FOR TZ600 SERIES 5YR,2632,Y,2632,S,0,The Comprehensive Anti-Spam Service is recommended For Up To 250 User.
01-SSC-0258,A8312222,N/A,N/A,COMPREHENSIVE GATEWAY SECURITY SUITE BUNDLE FOR TZ600 SERIES 1YR,839,Y,839,S,0,"BEST VALUE: Comprehensive Gateway Security Suite includes - Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention and Application Firewall Service, as well as Content Filtering Premium Services, and 24x7 Support with Firmware Updates."
01-SSC-0259,A8312223,N/A,N/A,COMPREHENSIVE GATEWAY SECURITY SUITE BUNDLE FOR TZ600 SERIES 2YR,1338,Y,1338,S,0,"BEST VALUE: Comprehensive Gateway Security Suite includes - Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention and Application Firewall Service, as well as Content Filtering Premium Services, and 24x7 Support with Firmware Updates."
01-SSC-0260,A8312224,N/A,N/A,COMPREHENSIVE GATEWAY SECURITY SUITE BUNDLE FOR TZ600 SERIES 3YR,1889,Y,1889,S,0,"BEST VALUE: Comprehensive Gateway Security Suite includes - Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention and Application Firewall Service, as well as Content Filtering Premium Services, and 24x7 Support with Firmware Updates."
01-SSC-0261,A8312225,N/A,N/A,COMPREHENSIVE GATEWAY SECURITY SUITE BUNDLE FOR TZ600 SERIES 4YR,2676,Y,2676,S,0,"BEST VALUE: Comprehensive Gateway Security Suite includes - Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention and Application Firewall Service, as well as Content Filtering Premium Services, and 24x7 Support with Firmware Updates."
01-SSC-0262,A8312226,N/A,N/A,COMPREHENSIVE GATEWAY SECURITY SUITE BUNDLE FOR TZ600 SERIES 5YR,3230,Y,3230,S,0,"BEST VALUE: Comprehensive Gateway Security Suite includes - Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention and Application Firewall Service, as well as Content Filtering Premium Services, and 24x7 Support with Firmware Updates."
01-SSC-0264,A8312252,N/A,N/A,STATEFUL HA UPGRADE FOR TZ600 SERIES,362,Y,362,S,0,0
01-SSC-0265,A8312253,N/A,N/A,HA CONVERSION LICENSE TO STANDALONE UNIT FOR TZ600 SERIES,428,Y,428,S,0,Converts HA unit to the basic standalone appliance (no services)
01-SSC-0266,A8312254,N/A,N/A,EXPANDED LICENSE FOR TZ600 SERIES,494,Y,494,S,0,Enables Stateful HA and BGP support 
01-SSC-0280,A8312256,N/A,N/A,SONICWALL TZ600 FRU POWER SUPPLY,35,Y,26,H,0,Replacement Power Supply for TZ600
01-SSC-0413,N/A,0,0,"SONICWALL CONTENT FILTERING CLIENT AND DYNAMIC SUPPORT 24X7 - 5,000 USERS (5 YRS)",37500,Y,37500,S,0,0
01-SSC-0417,N/A,0,0,"NETWORK SECURITY ADVANCED ADMINISTRATION ""TEST-OUT"" CERTIFICATION EXAM",400,N,400,S,0,0
01-SSC-0418,N/A,0,0,SECURE MOBILE ACCESS BASIC ADMINISTRATOR TRAINING - 2-DAY INSTRUCTOR-LED CLASS - 1 SEAT ,1995,N,1995,S,0,0
01-SSC-0419,N/A,0,0,SECURE MOBILE ACCESS ADVANCED ADMINISTRATOR TRAINING - 2-DAY INSTRUCTOR-LED CLASS - 1 SEAT ,1995,N,1995,S,0,0
01-SSC-0424,N/A,A9613460,0,SONICWALL GMS CHANGE MANAGEMENT AND WORKFLOW ,1995,Y,1995,S,0,0
01-SSC-0425,A8312260,N/A,N/A,SONICWALL TZ500 WITH 8X5 SUPPORT 1YR,1457,Y,1093,H,0,SonicWALL TZ500 Appliance with 1 year of 8x5 Support and Firmware updates
01-SSC-0426,A8400260,N/A,N/A,SONICWALL TZ500 WIRELESS-AC WITH 8X5 SUPPORT 1YR,1609,Y,1207,H,US ONLY,SonicWALL TZ500 Wireless Appliance with 1 year of 8x5 Support and Firmware updates
01-SSC-0427,A8500856,N/A,N/A,SONICWALL TZ500 WIRELESS-AC INTL WITH 8X5 SUPPORT 1YR,1609,Y,1207,H,CANADA ONLY,SonicWALL TZ500 Wireless Appliance with 1 year of 8x5 Support and Firmware updates
01-SSC-0428,A8312261,N/A,N/A,SONICWALL TZ500 SECURE UPGRADE PLUS 2YR,1865,Y,1399,H,0,0
01-SSC-0429,A8312262,N/A,N/A,SONICWALL TZ500 SECURE UPGRADE PLUS 3YR,2283,Y,1712,H,0,0
01-SSC-0430,A8400267,N/A,N/A,SONICWALL TZ500 WIRELESS-AC SECURE UPGRADE PLUS 2YR,2065,Y,1549,H,US ONLY,0
01-SSC-0431,A8400268,N/A,N/A,SONICWALL TZ500 WIRELESS-AC SECURE UPGRADE PLUS 3YR,2483,Y,1862,H,US ONLY,0
01-SSC-0432,A8500863,N/A,N/A,SONICWALL TZ500 WIRELESS-AC INTL SECURE UPGRADE PLUS 2YR (CANADA ONLY),2065,Y,1549,H,CANADA ONLY,0
01-SSC-0433,A8500864,N/A,N/A,SONICWALL TZ500 WIRELESS-AC INTL SECURE UPGRADE PLUS 3YR  (CANADA ONLY),2483,Y,1862,H,CANADA ONLY,0
01-SSC-0437,A8312297,N/A,N/A,SONICWALL TZ500 SERIES FRU POWER SUPPLY,35,Y,26,H,0,Replacement Power Supply for TZ500 Series
01-SSC-0438,A8312296,N/A,N/A,SONICWALL TZ500 SERIES RACK MOUNT KIT,350,Y,263,H,0,Rack Mount Kit for TZ500 Series
01-SSC-0439,A8312259,N/A,N/A,SONICWALL TZ500 HIGH AVAILABILITY,872,Y,654,H,0,Must be paired with a regular SonicwALL TZ500 firewall
01-SSC-0442,A8354773,N/A,N/A,SONICWALL TZ500 NFR,623,N,467,H,0,Partners may purchase each NFR SKU once per calendar year and may not resell the product until at least one year from date of purchase. Services and support may be renewed on the appliance.
01-SSC-0443,A8490168,N/A,N/A,SONICWALL TZ500 WIRELESS-AC NFR,688,N,516,H,US ONLY,Partners may purchase each NFR SKU once per calendar year and may not resell the product until at least one year from date of purchase. Services and support may be renewed on the appliance.
01-SSC-0444,A8500871,0,0,SONICWALL TZ500 WIRELESS-AC INTL NFR (CANADA ONLY),688,N,516,H,CANADA ONLY,Partners may purchase each NFR SKU once per calendar year and may not resell the product until at least one year from date of purchase. Services and support may be renewed on the appliance.
01-SSC-0445,A8312258,N/A,N/A,SONICWALL TZ500 TOTALSECURE 1YR,1865,Y,1399,H,0,SonicWALL TZ500 Appliance with 1 year of Comprehensive Gateway Security Suite and 24x7 Support
01-SSC-0446,A8400258,N/A,N/A,SONICWALL TZ500 WIRELESS-AC TOTALSECURE 1YR,2065,Y,1549,H,US ONLY,SonicWALL TZ500 Wireless Appliance with 1 yr of Comprehensive Gateway Security Suite & 24x7 Support
01-SSC-0447,A8500855,N/A,N/A,SONICWALL TZ500 WIRELESS-AC INTL TOTALSECURE 1YR,2065,Y,1549,H,CANADA ONLY,SonicWALL TZ500 Wireless Appliance with 1 yr of Comprehensive Gateway Security Suite & 24x7 Support
01-SSC-0449,A8500854,N/A,N/A,SONICWALL TZ500 WIRELESS-AC INTL,1375,Y,1031,H,CANADA ONLY,SonicWALL TZ500 Wireless Appliance
01-SSC-0458,A8312268,N/A,N/A,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR TZ500 SERIES 1YR",274,Y,274,S,0,"Provides real time network threat prevention with Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention Service and Application Firewall."
01-SSC-0459,A8312269,N/A,N/A,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR TZ500 SERIES 2YR",466,Y,466,S,0,"Provides real time network threat prevention with Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention Service and Application Firewall."
01-SSC-0460,A8312270,N/A,N/A,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR TZ500 SERIES 3YR",657,Y,657,S,0,"Provides real time network threat prevention with Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention Service and Application Firewall."
01-SSC-0461,A8312271,N/A,N/A,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR TZ500 SERIES 4YR",876,Y,876,S,0,"Provides real time network threat prevention with Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention Service and Application Firewall."
01-SSC-0462,A8312272,N/A,N/A,"GATEWAY ANTI-MALWARE, INTRUSION PREVENTION AND APPLICATION CONTROL FOR TZ500 SERIES 5YR",1096,Y,1096,S,0,"Provides real time network threat prevention with Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention Service and Application Firewall."
01-SSC-0464,A8312273,N/A,N/A,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR TZ500 SERIES 1YR,324,Y,324,S,0,Provides URL filtering allowing organizations to manage productivity and security For online activities using 56 unique categories.  
01-SSC-0465,A8312274,N/A,N/A,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR TZ500 SERIES 2YR,550,Y,550,S,0,Provides URL filtering allowing organizations to manage productivity and security For online activities using 56 unique categories.  
01-SSC-0466,A8312275,N/A,N/A,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR TZ500 SERIES 3YR,777,Y,777,S,0,Provides URL filtering allowing organizations to manage productivity and security For online activities using 56 unique categories.  
01-SSC-0467,A8312276,N/A,N/A,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR TZ500 SERIES 4YR,1036,Y,1036,S,0,Provides URL filtering allowing organizations to manage productivity and security For online activities using 56 unique categories.  
01-SSC-0468,A8312277,N/A,N/A,CONTENT FILTERING SERVICE PREMIUM BUSINESS EDITION FOR TZ500 SERIES 5YR,1295,Y,1295,S,0,Provides URL filtering allowing organizations to manage productivity and security For online activities using 56 unique categories.  
01-SSC-0470,A8312278,N/A,N/A,STANDARD SUPPORT FOR TZ500 SERIES 1YR,212,Y,212,S,0,"Includes 8x5 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-0471,A8312279,N/A,N/A,STANDARD SUPPORT FOR TZ500 SERIES 2YR,360,Y,360,S,0,"Includes 8x5 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-0472,A8312280,N/A,N/A,STANDARD SUPPORT FOR TZ500 SERIES 3YR,508,Y,508,S,0,"Includes 8x5 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-0473,A8312281,N/A,N/A,STANDARD SUPPORT FOR TZ500 SERIES 4YR,677,Y,677,S,0,"Includes 8x5 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-0474,A8312282,N/A,N/A,STANDARD SUPPORT FOR TZ500 SERIES 5YR,847,Y,847,S,0,"Includes 8x5 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-0476,A8312283,N/A,N/A,24X7 SUPPORT FOR TZ500 SERIES 1YR,286,Y,286,S,0,"Includes 24x7 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-0477,A8312284,N/A,N/A,24X7 SUPPORT FOR TZ500 SERIES 2YR,487,Y,487,S,0,"Includes 24x7 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-0478,A8312285,N/A,N/A,24X7 SUPPORT FOR TZ500 SERIES 3YR,687,Y,687,S,0,"Includes 24x7 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-0479,A8312286,N/A,N/A,24X7 SUPPORT FOR TZ500 SERIES 4YR,916,Y,916,S,0,"Includes 24x7 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-0480,A8312287,N/A,N/A,24X7 SUPPORT FOR TZ500 SERIES 5YR,1145,Y,1145,S,0,"Includes 24x7 telephone, email and Web-based Support, Software and firmware updates, Advance Exchange hardware replacement, access to electronic Support tools and moderated discussion groups."
01-SSC-0482,A8312288,N/A,N/A,COMPREHENSIVE ANTI-SPAM SERVICE FOR TZ500 SERIES 1YR,498,Y,498,S,0,The Comprehensive Anti-Spam Service is recommended For Up To 250 User.
01-SSC-0483,A8312289,N/A,N/A,COMPREHENSIVE ANTI-SPAM SERVICE FOR TZ500 SERIES 2YR,847,Y,847,S,0,The Comprehensive Anti-Spam Service is recommended For Up To 250 User.
01-SSC-0484,A8312290,N/A,N/A,COMPREHENSIVE ANTI-SPAM SERVICE FOR TZ500 SERIES 3YR,1195,Y,1195,S,0,The Comprehensive Anti-Spam Service is recommended For Up To 250 User.
01-SSC-0485,A8312291,N/A,N/A,COMPREHENSIVE ANTI-SPAM SERVICE FOR TZ500 SERIES 4YR,1594,Y,1594,S,0,The Comprehensive Anti-Spam Service is recommended For Up To 250 User.
01-SSC-0486,A8312292,N/A,N/A,COMPREHENSIVE ANTI-SPAM SERVICE FOR TZ500 SERIES 5YR,1992,Y,1992,S,0,The Comprehensive Anti-Spam Service is recommended For Up To 250 User.
01-SSC-0488,A8312263,N/A,N/A,COMPREHENSIVE GATEWAY SECURITY SUITE BUNDLE FOR TZ500 SERIES 1YR,697,Y,697,S,0,"BEST VALUE: Comprehensive Gateway Security Suite includes - Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention and Application Firewall Service, as well as Content Filtering Premium Services, and 24x7 Support with Firmware Updates."
01-SSC-0489,A8312264,N/A,N/A,COMPREHENSIVE GATEWAY SECURITY SUITE BUNDLE FOR TZ500 SERIES 2YR,1046,Y,1046,S,0,"BEST VALUE: Comprehensive Gateway Security Suite includes - Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention and Application Firewall Service, as well as Content Filtering Premium Services, and 24x7 Support with Firmware Updates."
01-SSC-0490,A8312265,N/A,N/A,COMPREHENSIVE GATEWAY SECURITY SUITE BUNDLE FOR TZ500 SERIES 3YR,1464,Y,1464,S,0,"BEST VALUE: Comprehensive Gateway Security Suite includes - Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention and Application Firewall Service, as well as Content Filtering Premium Services, and 24x7 Support with Firmware Updates."
01-SSC-0491,A8312266,N/A,N/A,COMPREHENSIVE GATEWAY SECURITY SUITE BUNDLE FOR TZ500 SERIES 4YR,2092,Y,2092,S,0,"BEST VALUE: Comprehensive Gateway Security Suite includes - Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention and Application Firewall Service, as well as Content Filtering Premium Services, and 24x7 Support with Firmware Updates."
01-SSC-0492,A8312267,N/A,N/A,COMPREHENSIVE GATEWAY SECURITY SUITE BUNDLE FOR TZ500 SERIES 5YR,2443,Y,2443,S,0,"BEST VALUE: Comprehensive Gateway Security Suite includes - Gateway Anti-Virus, Anti-Spyware, Intrusion Prevention and Application Firewall Service, as well as Content Filtering Premium Services, and 24x7 Support with Firmware Updates."
01-SSC-0494,A8312293,N/A,N/A,STATEFUL HA UPGRADE FOR TZ500 SERIES,274,Y,274,S,0,Enables Stateful HA support
01-SSC-0501,A8312294,N/A,N/A,HA CONVERSION LICENSE TO STANDALONE UNIT FOR TZ500 SERIES,324,Y,324,S,0,Converts HA unit to the basic standalone appliance (no services)
01-SSC-0502,A8312295,N/A,N/A,EXPANDED LICENSE FOR TZ500 SERIES,374,Y,374,S,0,Enables Stateful HA and BGP support 
01-SSC-0503,0,0,0,SONICWALL TZ400 WIRELESS-AC INTL,1095,Y,821,H,CANADA ONLY,SonicWALL TZ400 Wireless Appliance
01-SSC-0504,N/A,A9616244,0,SONICWALL TZ400 SECURE UPGRADE PLUS 2YR,1225,Y,919,H,0,0
01-SSC-0505,N/A,A9616243,0,SONICWALL TZ400 SECURE UPGRADE PLUS 3YR,1521,Y,1141,H,0,0
01-SSC-0506,N/A,A9616219,0,SONICWALL TZ400 WIRELESS-AC SECURE UPGRADE PLUS 2YR,1425,Y,1069,H,US ONLY,0
01-SSC-0507,N/A,A9616218,0,SONICWALL TZ400 WIRELESS-AC SECURE UPGRADE PLUS 3YR,1721,Y,1291,H,US ONLY,0
01-SSC-0508,N/A,A9616232,0,SONICWALL TZ400 WIRELESS-AC INTL SECURE UPGRADE PLUS 2YR  (CANADA ONLY),1425,Y,1069,H,CANADA ONLY,0
01-SSC-0509,N/A,A9616221,0,SONICWALL TZ400 WIRELESS-AC INTL SECURE UPGRADE PLUS 3YR  (CANADA ONLY),1721,Y,1291,H,CANADA ONLY,0
01-SSC-0514,N/A,A9673439,A9718021,SONICWALL TZ400 TOTALSECURE 1YR,1225,Y,919,H,0,SonicWALL TZ400 Appliance with 1 year of Comprehensive Gateway Security Suite and 24x7 Support
